tensor,shape,ndim,numel,family,controlled,optimizer_group,reference_fro_norm,reference_rms_norm,prefix_checkpoint,prefix_sha256,prefix_global_state_step,prefix_git_commit,prefix_source_policy,target_policy
blocks.1.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,9.60057258605957,0.028869235244458512,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.qkv.bias,[576],1,576,attention_qkv,True,controlled,0.37869173288345337,0.015778822203477223,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.proj.weight,"[192,192]",2,36864,attention_output,True,controlled,6.346072673797607,0.03305246184269587,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.proj.bias,[192],1,192,attention_output,True,controlled,0.28600817918777466,0.020640862405562052,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.norm2.weight,[192],1,192,block_layernorm,False,uncontrolled,13.699454307556152,0.9886729540273154,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc1.weight,"[768,192]",2,147456,mlp_input,True,controlled,11.778154373168945,0.030672277013460796,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc1.bias,[768],1,768,mlp_input,True,controlled,0.6924238204956055,0.024985692447277934,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc2.weight,"[192,768]",2,147456,mlp_output,True,controlled,11.133298873901367,0.028992965817451477,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc2.bias,[192],1,192,mlp_output,True,controlled,0.2924003303050995,0.021102176176598087,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.629938125610352,0.983656055732385,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,9.91933822631836,0.029827773933061717,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.bias,[576],1,576,attention_qkv,True,controlled,0.3698703944683075,0.01541126643617948,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.proj.weight,"[192,192]",2,36864,attention_output,True,controlled,6.6252336502075195,0.0345064252614975,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.proj.bias,[192],1,192,attention_output,True,controlled,0.35241785645484924,0.025433568036429766,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.norm2.weight,[192],1,192,block_layernorm,False,uncontrolled,13.482011795043945,0.9729803923857915,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc1.weight,"[768,192]",2,147456,mlp_input,True,controlled,11.64755630493164,0.030332177877426147,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc1.bias,[768],1,768,mlp_input,True,controlled,0.8058706521987915,0.029079352373686973,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc2.weight,"[192,768]",2,147456,mlp_output,True,controlled,10.395485877990723,0.027071577807267506,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc2.bias,[192],1,192,mlp_output,True,controlled,0.3364110589027405,0.024278376926983033,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.715530395507812,0.9898331457406163,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,9.996817588806152,0.030060756905920923,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.bias,[576],1,576,attention_qkv,True,controlled,0.6210755705833435,0.02587814877430598,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.proj.weight,"[192,192]",2,36864,attention_output,True,controlled,6.550921440124512,0.0341193825006485,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.proj.bias,[192],1,192,attention_output,True,controlled,0.21382175385951996,0.01543125589367397,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.norm2.weight,[192],1,192,block_layernorm,False,uncontrolled,13.543386459350586,0.9774097272556492,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc1.weight,"[768,192]",2,147456,mlp_input,True,controlled,12.126060485839844,0.031578282515207924,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc1.bias,[768],1,768,mlp_input,True,controlled,0.8464565873146057,0.030543871158963724,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc2.weight,"[192,768]",2,147456,mlp_output,True,controlled,10.579121589660645,0.02754979580640793,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc2.bias,[192],1,192,mlp_output,True,controlled,0.2322096973657608,0.016758291410320442,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.565452575683594,0.9790022120312531,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,10.014309883117676,0.030113356806074583,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.bias,[576],1,576,attention_qkv,True,controlled,0.5092962980270386,0.021220679084459942,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.proj.weight,"[192,192]",2,36864,attention_output,True,controlled,6.322446823120117,0.032929410537083946,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.proj.bias,[192],1,192,attention_output,True,controlled,0.22632735967636108,0.01633377025426554,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.norm2.weight,[192],1,192,block_layernorm,False,uncontrolled,13.493986129760742,0.9738445655573051,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc1.weight,"[768,192]",2,147456,mlp_input,True,controlled,12.250812530517578,0.03190315763155619,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc1.bias,[768],1,768,mlp_input,True,controlled,0.9654865264892578,0.03483899412297061,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc2.weight,"[192,768]",2,147456,mlp_output,True,controlled,10.353569030761719,0.026962419350941975,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc2.bias,[192],1,192,mlp_output,True,controlled,0.237080380320549,0.01710980267470598,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.508622169494629,0.9749008307423338,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,9.94302749633789,0.029899008341513187,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.qkv.bias,[576],1,576,attention_qkv,True,controlled,0.3720213770866394,0.015500890711943308,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.proj.weight,"[192,192]",2,36864,attention_output,True,controlled,6.409681797027588,0.033383759359518685,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.proj.bias,[192],1,192,attention_output,True,controlled,0.2334410697221756,0.016847158055501535,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.norm2.weight,[192],1,192,block_layernorm,False,uncontrolled,13.550374031066895,0.9779140118070733,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.mlp.fc1.weight,"[768,192]",2,147456,mlp_input,True,controlled,12.489182472229004,0.03252391268809637,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.mlp.fc1.bias,[768],1,768,mlp_input,True,controlled,0.9626326560974121,0.034736013945535334,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.mlp.fc2.weight,"[192,768]",2,147456,mlp_output,True,controlled,10.589414596557617,0.027576600511868794,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.mlp.fc2.bias,[192],1,192,mlp_output,True,controlled,0.2447773665189743,0.017665284806407187,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.464000701904297,0.9716805537017196,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,9.914162635803223,0.029812210763389167,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.attn.qkv.bias,[576],1,576,attention_qkv,True,controlled,0.4856194853782654,0.02023414522409439,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.attn.proj.weight,"[192,192]",2,36864,attention_output,True,controlled,6.313019752502441,0.03288031121095022,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.attn.proj.bias,[192],1,192,attention_output,True,controlled,0.24462498724460602,0.017654287779522757,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.norm2.weight,[192],1,192,block_layernorm,False,uncontrolled,13.63252067565918,0.9838424352281209,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.mlp.fc1.weight,"[768,192]",2,147456,mlp_input,True,controlled,12.689491271972656,0.033045550187428795,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.mlp.fc1.bias,[768],1,768,mlp_input,True,controlled,0.9800474643707275,0.03536441671081561,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.mlp.fc2.weight,"[192,768]",2,147456,mlp_output,True,controlled,10.765872955322266,0.0280361274878184,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.6.mlp.fc2.bias,[192],1,192,mlp_output,True,controlled,0.2624180018901825,0.018938388003937573,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.7.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.406805992126465,0.9675528810659129,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.7.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,9.919271469116211,0.0298275731919751,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
