tensor,parent_tensor,unit_label,shape,ndim,numel,family,controlled,optimizer_group,reference_fro_norm,reference_rms_norm,prefix_checkpoint,prefix_sha256,prefix_global_state_step,prefix_git_commit,prefix_source_policy,target_policy
blocks.1.attn.qkv.bias::k,blocks.1.attn.qkv.bias,k,[192],1,192,attention_qkv,True,controlled,0.006174968555569649,0.00044563996972445146,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.qkv.bias::v,blocks.1.attn.qkv.bias,v,[192],1,192,attention_qkv,True,controlled,0.12361770123243332,0.008921339135393514,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.proj.weight,blocks.1.attn.proj.weight,,"[192,192]",2,36864,attention_output,True,controlled,6.346072673797607,0.03305246184269587,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.proj.bias,blocks.1.attn.proj.bias,,[192],1,192,attention_output,True,controlled,0.28600817918777466,0.020640862405562052,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc1.weight,blocks.1.mlp.fc1.weight,,"[768,192]",2,147456,mlp_input,True,controlled,11.778154373168945,0.030672277013460796,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc1.bias,blocks.1.mlp.fc1.bias,,[768],1,768,mlp_input,True,controlled,0.6924238204956055,0.024985692447277934,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc2.weight,blocks.1.mlp.fc2.weight,,"[192,768]",2,147456,mlp_output,True,controlled,11.133298873901367,0.028992965817451477,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.mlp.fc2.bias,blocks.1.mlp.fc2.bias,,[192],1,192,mlp_output,True,controlled,0.2924003303050995,0.021102176176598087,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.weight::q,blocks.2.attn.qkv.weight,q,"[192,192]",2,36864,attention_qkv,True,controlled,5.130637168884277,0.026722068587938946,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.weight::k,blocks.2.attn.qkv.weight,k,"[192,192]",2,36864,attention_qkv,True,controlled,5.304088592529297,0.02762546141942342,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.weight::v,blocks.2.attn.qkv.weight,v,"[192,192]",2,36864,attention_qkv,True,controlled,6.6284637451171875,0.03452324867248535,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.bias::q,blocks.2.attn.qkv.bias,q,[192],1,192,attention_qkv,True,controlled,0.3323877453804016,0.02398801928383846,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.bias::k,blocks.2.attn.qkv.bias,k,[192],1,192,attention_qkv,True,controlled,0.006551914382725954,0.0004728436915717763,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.qkv.bias::v,blocks.2.attn.qkv.bias,v,[192],1,192,attention_qkv,True,controlled,0.16210977733135223,0.011699265447565815,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.proj.weight,blocks.2.attn.proj.weight,,"[192,192]",2,36864,attention_output,True,controlled,6.6252336502075195,0.0345064252614975,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.attn.proj.bias,blocks.2.attn.proj.bias,,[192],1,192,attention_output,True,controlled,0.35241785645484924,0.025433568036429766,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc1.weight,blocks.2.mlp.fc1.weight,,"[768,192]",2,147456,mlp_input,True,controlled,11.64755630493164,0.030332177877426147,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc1.bias,blocks.2.mlp.fc1.bias,,[768],1,768,mlp_input,True,controlled,0.8058706521987915,0.029079352373686973,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc2.weight,blocks.2.mlp.fc2.weight,,"[192,768]",2,147456,mlp_output,True,controlled,10.395485877990723,0.027071577807267506,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.2.mlp.fc2.bias,blocks.2.mlp.fc2.bias,,[192],1,192,mlp_output,True,controlled,0.3364110589027405,0.024278376926983033,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.weight::q,blocks.3.attn.qkv.weight,q,"[192,192]",2,36864,attention_qkv,True,controlled,5.301568031311035,0.02761233349641164,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.weight::k,blocks.3.attn.qkv.weight,k,"[192,192]",2,36864,attention_qkv,True,controlled,5.432451248168945,0.02829401691754659,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.weight::v,blocks.3.attn.qkv.weight,v,"[192,192]",2,36864,attention_qkv,True,controlled,6.505248546600342,0.03388150284687678,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.bias::q,blocks.3.attn.qkv.bias,q,[192],1,192,attention_qkv,True,controlled,0.5567629337310791,0.04018090370805554,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.bias::k,blocks.3.attn.qkv.bias,k,[192],1,192,attention_qkv,True,controlled,0.012917541898787022,0.0009322432865666196,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.qkv.bias::v,blocks.3.attn.qkv.bias,v,[192],1,192,attention_qkv,True,controlled,0.274923712015152,0.019840909892319895,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.proj.weight,blocks.3.attn.proj.weight,,"[192,192]",2,36864,attention_output,True,controlled,6.550921440124512,0.0341193825006485,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.attn.proj.bias,blocks.3.attn.proj.bias,,[192],1,192,attention_output,True,controlled,0.21382175385951996,0.01543125589367397,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc1.weight,blocks.3.mlp.fc1.weight,,"[768,192]",2,147456,mlp_input,True,controlled,12.126060485839844,0.031578282515207924,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc1.bias,blocks.3.mlp.fc1.bias,,[768],1,768,mlp_input,True,controlled,0.8464565873146057,0.030543871158963724,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc2.weight,blocks.3.mlp.fc2.weight,,"[192,768]",2,147456,mlp_output,True,controlled,10.579121589660645,0.02754979580640793,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.3.mlp.fc2.bias,blocks.3.mlp.fc2.bias,,[192],1,192,mlp_output,True,controlled,0.2322096973657608,0.016758291410320442,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.weight::q,blocks.4.attn.qkv.weight,q,"[192,192]",2,36864,attention_qkv,True,controlled,5.483475685119629,0.0285597691933314,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.weight::k,blocks.4.attn.qkv.weight,k,"[192,192]",2,36864,attention_qkv,True,controlled,5.595524311065674,0.029143355786800385,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.weight::v,blocks.4.attn.qkv.weight,v,"[192,192]",2,36864,attention_qkv,True,controlled,6.237634658813477,0.032487680514653526,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.bias::q,blocks.4.attn.qkv.bias,q,[192],1,192,attention_qkv,True,controlled,0.4702717959880829,0.03393894350075106,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.bias::k,blocks.4.attn.qkv.bias,k,[192],1,192,attention_qkv,True,controlled,0.0033488173503428698,0.00024168007483591815,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.qkv.bias::v,blocks.4.attn.qkv.bias,v,[192],1,192,attention_qkv,True,controlled,0.19548898935317993,0.014108202578333291,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.proj.weight,blocks.4.attn.proj.weight,,"[192,192]",2,36864,attention_output,True,controlled,6.322446823120117,0.032929410537083946,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.attn.proj.bias,blocks.4.attn.proj.bias,,[192],1,192,attention_output,True,controlled,0.22632735967636108,0.01633377025426554,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc1.weight,blocks.4.mlp.fc1.weight,,"[768,192]",2,147456,mlp_input,True,controlled,12.250812530517578,0.03190315763155619,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc1.bias,blocks.4.mlp.fc1.bias,,[768],1,768,mlp_input,True,controlled,0.9654865264892578,0.03483899412297061,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc2.weight,blocks.4.mlp.fc2.weight,,"[192,768]",2,147456,mlp_output,True,controlled,10.353569030761719,0.026962419350941975,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.4.mlp.fc2.bias,blocks.4.mlp.fc2.bias,,[192],1,192,mlp_output,True,controlled,0.237080380320549,0.01710980267470598,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.qkv.weight::q,blocks.5.attn.qkv.weight,q,"[192,192]",2,36864,attention_qkv,True,controlled,5.387922286987305,0.028062095244725544,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.qkv.weight::k,blocks.5.attn.qkv.weight,k,"[192,192]",2,36864,attention_qkv,True,controlled,5.486452102661133,0.028575271368026733,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.qkv.weight::v,blocks.5.attn.qkv.weight,v,"[192,192]",2,36864,attention_qkv,True,controlled,6.303404331207275,0.03283023089170456,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.qkv.bias::q,blocks.5.attn.qkv.bias,q,[192],1,192,attention_qkv,True,controlled,0.2637891471385956,0.019037341888721245,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.5.attn.qkv.bias::k,blocks.5.attn.qkv.bias,k,[192],1,192,attention_qkv,True,controlled,0.0031581579241901636,0.0002279204159593176,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
